emg0,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
0.04486,0.01400,0.20354,9.81631,0.28451,-0.00523,-0.02515
0.00164,0.01128,0.19412,9.76669,0.30267,0.00500,-0.00725
0.02743,0.01779,0.20186,9.78177,0.29705,0.03279,-0.02003
0.00855,0.03587,0.20940,9.83068,0.28523,0.01340,-0.02279
0.03140,0.02406,0.21433,9.78885,0.32691,-0.03287,0.00376
0.03276,0.02227,0.17957,9.78683,0.31489,0.02602,0.03806
0.07703,0.01612,0.20161,9.80696,0.29789,-0.01791,0.03266
0.02576,0.02224,0.19265,9.81223,0.29007,0.02747,-0.02847
0.03070,0.00963,0.19391,9.84350,0.29996,0.00433,0.00624
0.05764,0.02816,0.19829,9.79727,0.28363,0.02462,-0.00293
0.08291,0.03831,0.21108,9.85618,0.29835,0.00954,-0.02961
0.03732,0.01179,0.19255,9.79031,0.31657,-0.00093,0.03140
0.03725,0.01605,0.19681,9.77769,0.29011,-0.01672,0.02674
0.03748,0.01454,0.21782,9.80681,0.28258,-0.00746,0.01909
0.02412,0.02760,0.17911,9.83276,0.28011,-0.03876,-0.01266
0.02020,0.03129,0.19997,9.78617,0.31035,-0.01261,-0.01848
0.03338,0.03456,0.21445,9.78925,0.30315,0.00737,-0.02818
0.02231,0.03096,0.18478,9.80335,0.28642,0.00140,0.00422
-0.01612,0.02750,0.20922,9.81914,0.28998,-0.00957,-0.00772
0.00028,0.02436,0.19906,9.81021,0.26467,0.01650,0.01306
0.04360,0.02226,0.20713,9.81470,0.31171,-0.01800,0.00942
0.01649,0.00567,0.18612,9.83138,0.28151,-0.00455,-0.02327
-0.00083,0.02003,0.19948,9.78732,0.29797,0.01505,-0.02211
0.00470,0.02122,0.19420,9.82450,0.30647,-0.00239,0.01739
0.04056,0.03283,0.19453,9.78061,0.31758,0.00804,-0.02000
0.01572,0.00874,0.21035,9.78336,0.28317,0.02117,-0.02669
0.04502,0.02857,0.20035,9.77081,0.31863,-0.00601,-0.00039
0.00796,0.02999,0.20684,9.80553,0.30053,-0.01553,0.02585
0.03855,0.03883,0.20962,9.83006,0.31831,0.00338,-0.00431
0.03244,0.03696,0.20829,9.82856,0.30460,0.00425,0.01728
0.01362,0.04160,0.20366,9.79673,0.30193,0.00195,-0.08359
0.00436,0.02034,0.18579,9.79061,0.27111,0.01267,-0.00415
0.02159,0.03529,0.19366,9.78746,0.30459,0.03039,0.00128
0.02116,0.03145,0.19497,9.83182,0.25144,0.00355,0.00287
0.00215,0.00936,0.18728,9.82916,0.32550,0.01408,-0.00646
0.03153,0.04043,0.18895,9.85162,0.33784,0.00376,-0.01808
0.01153,0.04154,0.18934,9.84271,0.30233,-0.00849,0.02756
0.03293,0.03055,0.18958,9.80473,0.24651,-0.00457,0.03606
0.00987,0.03496,0.19895,9.79430,0.32057,-0.03026,0.03534
0.04372,0.02093,0.20290,9.80650,0.30136,0.00751,-0.01021
0.02676,0.02607,0.21123,9.78877,0.29751,0.00282,0.00802
0.03389,0.01845,0.20108,9.79949,0.27108,-0.03543,0.00205
0.02324,0.05082,0.19531,9.83477,0.27360,0.00412,-0.02955
0.03986,0.03387,0.19227,9.80991,0.30795,0.00356,0.00944
0.03206,0.03028,0.20228,9.83250,0.28904,-0.05411,-0.01612
0.01550,0.03960,0.20661,9.81145,0.30074,-0.01565,-0.00341
0.01503,0.03250,0.21399,9.83871,0.25709,0.00233,-0.02012
0.01811,0.03936,0.20283,9.83125,0.28933,0.00886,-0.01820
0.01266,0.03611,0.20747,9.83074,0.27631,0.06027,0.02502
0.05623,0.04080,0.19293,9.78833,0.29436,-0.03713,0.01397
0.03520,0.05255,0.18717,9.78913,0.31031,-0.00441,0.00713
0.04823,0.04175,0.20335,9.83188,0.29770,-0.01380,-0.00923
0.01362,0.02538,0.18522,9.81869,0.32854,-0.01620,-0.02080
0.02220,0.02968,0.20552,9.78377,0.26221,0.00357,-0.00682
0.00820,0.05687,0.19234,9.80305,0.31883,0.02152,-0.01485
-0.01545,0.03770,0.19998,9.83061,0.30235,-0.00666,0.01364
0.05468,0.03775,0.17797,9.78766,0.32688,-0.00008,-0.00070
0.04338,0.02845,0.20249,9.82094,0.29057,-0.02440,-0.01450
0.04529,0.04821,0.19237,9.83580,0.30808,-0.01395,-0.00572
0.02789,0.04857,0.18817,9.79331,0.30167,-0.02355,0.04749
-0.03218,0.04139,0.19295,9.78908,0.28571,0.00668,-0.02171
0.05942,0.04501,0.19307,9.76634,0.28271,-0.02865,0.01174
0.04566,0.04275,0.20019,9.82172,0.27252,-0.00796,0.05197
0.07686,0.04066,0.20099,9.82159,0.27609,-0.00497,-0.02333
0.05164,0.02184,0.20029,9.83530,0.26284,0.03017,-0.04108
0.03879,0.04355,0.21721,9.76984,0.32015,-0.03703,-0.00180
0.01550,0.05960,0.21138,9.80984,0.31110,0.01999,-0.01426
0.05225,0.03891,0.20222,9.82163,0.32489,-0.01313,-0.00636
0.07008,0.05232,0.19470,9.77490,0.27388,0.01938,0.02418
-0.02092,0.05980,0.20249,9.77593,0.27441,0.01516,-0.01531
-0.00008,0.05305,0.18745,9.82563,0.30874,0.01857,0.01784
0.03228,0.03773,0.18396,9.83375,0.26423,-0.01272,0.01195
0.03896,0.02944,0.20342,9.81168,0.26525,-0.03307,0.03314
0.02748,0.06171,0.20797,9.82508,0.28023,-0.01490,-0.04059
0.02114,0.04264,0.19578,9.81794,0.27035,-0.00503,0.00322
0.00559,0.06066,0.18965,9.81254,0.33972,0.01384,0.01741
0.02253,0.05293,0.20698,9.76948,0.29038,-0.01054,-0.01720
0.03922,0.04527,0.19168,9.80998,0.33409,0.00618,0.01872
0.03159,0.06547,0.17176,9.78159,0.27988,0.05302,-0.00873
0.01855,0.04646,0.18452,9.83603,0.30357,-0.04330,0.00089
0.03185,0.04038,0.19118,9.83278,0.27338,-0.02073,-0.00533
0.01129,0.03890,0.18411,9.79958,0.28144,-0.02453,0.00957
0.05109,0.05882,0.19961,9.79757,0.31183,0.01838,0.02421
0.03802,0.05853,0.19296,9.82037,0.27449,0.01152,-0.03107
0.06363,0.07225,0.21621,9.85032,0.31535,-0.02472,0.05189
0.03256,0.04396,0.21290,9.83471,0.29694,-0.02870,0.00838
0.00311,0.04676,0.20414,9.80649,0.29514,0.00448,0.01918
0.02538,0.05729,0.20323,9.82962,0.25540,-0.00660,0.01940
0.03527,0.05429,0.19516,9.81042,0.30271,-0.00703,-0.02855
0.04585,0.06740,0.19620,9.80944,0.28284,-0.00786,0.00465
-0.01155,0.07146,0.20908,9.81393,0.24835,0.01708,0.00563
0.02836,0.03196,0.19205,9.79728,0.30987,0.00377,0.00949
0.01214,0.06309,0.19117,9.78904,0.32899,0.00470,0.00042
0.04231,0.07488,0.20676,9.81371,0.30750,0.01220,-0.01304
0.02065,0.05944,0.20316,9.80131,0.30436,0.01108,0.01344
0.04194,0.07793,0.20128,9.81134,0.31150,0.00301,0.00583
0.00460,0.05810,0.18247,9.81516,0.28419,-0.00080,-0.04822
0.01514,0.06542,0.17997,9.78806,0.29070,0.00691,-0.00159
0.00456,0.07054,0.17773,9.81268,0.30092,0.00366,-0.00573
0.01861,0.05373,0.19026,9.78058,0.35106,-0.02159,-0.00420
0.05843,0.07172,0.20834,9.78683,0.29718,-0.03172,0.00478
0.04325,0.05727,0.20892,9.80228,0.29778,-0.02651,0.01314
0.05224,0.08210,0.21682,9.82546,0.30069,0.00498,-0.00257
-0.00477,0.05303,0.19295,9.80510,0.30204,-0.01793,0.02354
0.05911,0.05270,0.21286,9.80466,0.27732,0.02109,0.00678
0.05018,0.07996,0.21173,9.78716,0.31796,-0.03243,-0.01629
0.07683,0.06245,0.18873,9.79122,0.33816,0.00756,0.00755
0.00656,0.06334,0.19135,9.80882,0.29454,0.01768,-0.01886
0.04482,0.07733,0.21581,9.81634,0.29710,0.02037,-0.01039
0.05282,0.06895,0.18679,9.81566,0.29581,0.01524,0.02318
0.03114,0.08182,0.18879,9.81194,0.28749,0.03319,0.01601
0.03740,0.06267,0.18914,9.80697,0.28696,-0.02140,0.01654
0.01086,0.07468,0.20453,9.82167,0.29097,0.00220,-0.00023
0.01398,0.06522,0.18825,9.82812,0.26066,0.03578,0.01741
0.06104,0.07171,0.20800,9.79004,0.26377,-0.01399,-0.00860
0.02052,0.06138,0.21555,9.78216,0.26629,0.00752,-0.00415
0.04145,0.08330,0.18959,9.80699,0.28498,0.01693,-0.00605
0.04083,0.07944,0.20735,9.82540,0.28127,-0.00524,-0.03660
0.04042,0.07650,0.20391,9.83569,0.29336,-0.02914,0.01522
0.06071,0.07182,0.18261,9.76690,0.30571,-0.02611,-0.01120
0.05222,0.06122,0.20168,9.81611,0.27539,0.00603,-0.00105
0.03694,0.06820,0.20966,9.84537,0.30436,0.03541,0.01853
0.02282,0.06485,0.18710,9.81590,0.30209,-0.04108,-0.03464
0.04587,0.06823,0.20970,9.81417,0.29673,0.03409,0.02594
0.02003,0.06207,0.20299,9.82334,0.27091,0.00820,-0.01164
0.02451,0.07198,0.20948,9.79577,0.31363,0.00704,-0.02800
0.04195,0.08297,0.19603,9.84134,0.26646,-0.03624,0.01260
0.01961,0.08084,0.20664,9.84033,0.28421,-0.02093,0.01689
0.03603,0.08450,0.20417,9.77461,0.27226,-0.03295,-0.00214
0.00045,0.06952,0.19109,9.79773,0.30471,0.00589,0.01257
0.02915,0.07697,0.20202,9.81610,0.29526,-0.00766,0.00497
0.00386,0.08562,0.20154,9.81108,0.27943,-0.00851,0.00832
0.04475,0.05923,0.20483,9.82851,0.26441,0.01596,0.00170
0.04516,0.07762,0.18848,9.79318,0.28609,0.00810,-0.02099
0.00734,0.09607,0.21046,9.80783,0.28572,0.01923,-0.05130
0.03057,0.08035,0.19420,9.81000,0.31813,0.01788,-0.01808
0.04020,0.06300,0.19566,9.84312,0.28317,0.04298,0.01290
0.06054,0.08145,0.21015,9.80728,0.29301,0.02231,0.00776
0.04145,0.07965,0.22211,9.81814,0.30452,-0.02455,0.00280
0.01309,0.08785,0.18582,9.83012,0.31294,-0.00195,0.00065
0.01596,0.09986,0.18398,9.80027,0.27930,-0.00169,-0.00401
0.03288,0.06578,0.20792,9.80065,0.29132,0.02231,-0.01513
0.00068,0.08108,0.20590,9.82662,0.27747,-0.00980,-0.02558
0.03236,0.08594,0.19873,9.78652,0.28460,0.02535,-0.00186
-0.00121,0.08535,0.20691,9.80818,0.32342,0.00359,-0.01823
0.06075,0.08534,0.18315,9.80702,0.29345,-0.03513,-0.01045
0.02432,0.07261,0.19454,9.78338,0.29081,-0.00669,0.00362
0.00198,0.09047,0.20111,9.85495,0.30007,-0.05986,-0.00580
0.03059,0.10123,0.20268,9.82752,0.29554,-0.03933,-0.00508
0.03502,0.09762,0.18872,9.82560,0.27553,0.02310,-0.00385
0.05145,0.07986,0.20436,9.77942,0.31145,0.01293,0.01103
0.00207,0.09874,0.20635,9.80056,0.31290,-0.02736,0.01370
0.06453,0.09161,0.17794,9.86672,0.27869,0.05529,0.00748
0.03159,0.07501,0.21285,9.78879,0.24251,0.01707,0.02138
0.04572,0.08801,0.20094,9.79120,0.26783,0.01738,-0.02381
0.02497,0.07588,0.21145,9.78804,0.27588,-0.02322,0.01731
0.04717,0.09877,0.18933,9.81012,0.27231,-0.00589,-0.00140
0.06659,0.08361,0.22094,9.79978,0.28716,0.01321,-0.01752
0.03389,0.09044,0.19119,9.77483,0.27863,0.01674,0.02295
0.05166,0.09882,0.18652,9.83558,0.27375,0.00647,-0.02295
0.02196,0.09510,0.19977,9.80553,0.26808,-0.00639,0.00838
0.00945,0.09771,0.20362,9.84186,0.28596,-0.03380,-0.00551
0.08763,0.10276,0.19233,9.79295,0.27808,-0.01664,0.02507
0.01004,0.10203,0.22286,9.76992,0.30381,0.00968,0.00351
0.02861,0.09927,0.19683,9.79217,0.32517,-0.01540,0.00861
0.02154,0.08722,0.19753,9.80195,0.30881,-0.01215,-0.00020
0.05986,0.10466,0.19664,9.78320,0.29946,-0.02152,0.00218
0.01209,0.08475,0.18895,9.79013,0.25741,-0.02472,0.01429
0.01840,0.08754,0.21019,9.80382,0.29527,-0.02862,-0.00229
0.02424,0.08322,0.20338,9.81778,0.31107,-0.01220,0.02941
0.07193,0.07347,0.20566,9.82409,0.26849,-0.00662,-0.01543
0.02574,0.10160,0.20383,9.78936,0.30297,0.00044,0.04005
0.00751,0.10685,0.19257,9.84134,0.26038,0.00026,-0.01718
0.01583,0.10686,0.19508,9.82362,0.28139,-0.00388,0.00514
0.05139,0.08631,0.18688,9.81456,0.29630,-0.01740,0.02385
0.01620,0.08984,0.20661,9.79810,0.27835,-0.00738,-0.00257
0.03159,0.08895,0.21413,9.80793,0.32372,0.03691,-0.02798
0.04719,0.11302,0.19277,9.81751,0.30632,-0.00609,-0.00000
0.00782,0.10773,0.18588,9.81729,0.26577,-0.00173,-0.00903
0.03695,0.09779,0.19062,9.79061,0.31551,-0.03077,-0.00634
0.03169,0.09002,0.18614,9.76038,0.25233,-0.01792,-0.00471
-0.01436,0.07344,0.20317,9.81710,0.24919,-0.02825,-0.01499
0.04600,0.11204,0.18500,9.78378,0.30100,0.02420,0.04771
0.02789,0.10874,0.20003,9.82778,0.30768,-0.02921,0.01844
0.06537,0.08887,0.20403,9.81416,0.28728,0.01710,-0.01280
0.00361,0.11124,0.21851,9.79975,0.29807,0.00440,-0.03165
0.02473,0.08858,0.20164,9.82407,0.26893,-0.00510,0.01657
0.02082,0.10603,0.21402,9.80243,0.29901,0.03258,-0.01442
0.04487,0.11274,0.17858,9.84841,0.30266,-0.04522,0.00557
0.00803,0.10071,0.18995,9.79560,0.28724,-0.01332,0.00176
0.05934,0.09690,0.20793,9.83101,0.26888,-0.00773,-0.01188
0.01258,0.11342,0.20227,9.80812,0.27244,0.00027,-0.00202
0.04996,0.09968,0.21776,9.79370,0.26809,0.00188,0.01715
0.03042,0.10815,0.19654,9.78788,0.27001,-0.00790,-0.04632
0.06116,0.12340,0.20899,9.85012,0.30108,-0.00036,-0.04696
0.04523,0.12370,0.18972,9.83587,0.28231,0.04460,0.03564
0.04852,0.10499,0.17527,9.81181,0.29396,-0.01809,0.00344
0.02903,0.09883,0.20084,9.82275,0.31055,0.00656,-0.02506
0.05549,0.12429,0.21380,9.78742,0.27182,-0.00082,-0.00621
0.00804,0.10379,0.20561,9.80901,0.29475,0.00117,-0.04962
0.02354,0.10610,0.19010,9.78473,0.28924,0.00382,-0.00713
0.04918,0.12036,0.18928,9.80626,0.28906,0.01446,-0.00841
0.03550,0.11372,0.20830,9.83724,0.26329,-0.01279,-0.02149
0.02426,0.10530,0.19279,9.81053,0.31298,0.00578,-0.00591
0.02609,0.10548,0.19552,9.80720,0.25660,-0.00700,-0.01023
0.01982,0.10485,0.19816,9.81732,0.30453,0.02010,0.01293
0.01628,0.11367,0.19546,9.81185,0.24367,0.00849,-0.00336
0.01969,0.11030,0.18564,9.82764,0.28392,0.05903,0.02500
0.08533,0.12087,0.20881,9.81406,0.28264,-0.03384,0.02855
0.02370,0.12133,0.19831,9.83975,0.24658,-0.02152,0.02134
0.00662,0.10839,0.19513,9.82025,0.25437,-0.00569,-0.00197
0.00105,0.12072,0.19993,9.79840,0.25582,-0.03649,-0.00742
0.01330,0.11943,0.21357,9.79768,0.30552,0.02371,-0.02979
0.05808,0.12002,0.19938,9.81421,0.28080,-0.02548,-0.01797
0.01526,0.10356,0.19939,9.82393,0.28199,-0.00515,-0.01652
0.03907,0.11310,0.18999,9.78560,0.26010,-0.00728,0.01531
0.01174,0.10858,0.19758,9.81674,0.31619,-0.01308,0.02383
0.01302,0.08822,0.19941,9.83785,0.26628,0.00391,-0.01708
0.03899,0.12325,0.19898,9.78735,0.28669,-0.01373,-0.00954
0.00751,0.09163,0.18864,9.79996,0.27284,0.00060,0.01347
0.06863,0.10718,0.21207,9.82763,0.28221,0.01472,-0.01254
0.01709,0.12313,0.21431,9.80589,0.25100,-0.04002,0.00521
0.02838,0.11667,0.22224,9.79032,0.33439,0.05295,-0.01478
0.03510,0.12383,0.21992,9.77726,0.26477,-0.01808,0.01684
0.02404,0.12996,0.19405,9.81016,0.29806,-0.00264,0.02369
-0.01135,0.10741,0.20521,9.81202,0.28656,-0.00316,0.04662
0.02238,0.12171,0.19388,9.82714,0.28709,-0.02037,-0.01715
-0.00238,0.13062,0.17510,9.79538,0.25708,0.01750,0.03101
0.01578,0.10835,0.20940,9.79753,0.27058,-0.00541,0.03786
0.05153,0.11179,0.18374,9.77722,0.29488,0.00365,0.03113
-0.00404,0.12023,0.18760,9.79000,0.25748,-0.01536,-0.00230
0.03172,0.13325,0.19944,9.80147,0.32881,0.03642,0.00394
0.05038,0.10085,0.20204,9.81561,0.28194,0.01051,-0.03625
0.01694,0.11416,0.20434,9.78856,0.28837,0.01428,-0.00088
0.05232,0.11039,0.20912,9.78374,0.29006,0.01083,-0.00643
0.01307,0.12830,0.20885,9.77794,0.28775,-0.03618,-0.01589
0.01205,0.12262,0.20331,9.84908,0.29070,-0.01475,0.00753
0.04503,0.13395,0.19085,9.85499,0.28266,-0.02012,0.04691
0.03306,0.10820,0.19524,9.81477,0.28079,0.01265,0.01007
0.02478,0.11617,0.21307,9.84810,0.31887,-0.00381,-0.02327
0.06446,0.12839,0.20326,9.79451,0.27857,-0.04943,-0.02746
0.03672,0.12069,0.22941,9.79128,0.27355,0.01983,-0.00769
0.03088,0.12211,0.18527,9.78574,0.27034,-0.00805,0.01786
0.06002,0.12555,0.18969,9.81160,0.27331,-0.00676,0.01764
0.03176,0.13131,0.18632,9.81804,0.26798,0.00252,-0.00537
0.03996,0.12252,0.20719,9.80485,0.29078,0.03708,0.02183
0.06797,0.12561,0.20311,9.82713,0.28233,0.01297,-0.00722
0.02835,0.11769,0.20383,9.82349,0.27832,0.00060,0.02801
0.03601,0.13271,0.19014,9.85592,0.25730,0.02420,0.00596
0.00818,0.13658,0.18018,9.82068,0.26910,-0.02084,0.04382
0.00074,0.15285,0.20647,9.80676,0.26276,-0.02187,-0.01324
0.01944,0.13355,0.18918,9.82944,0.28734,-0.02102,-0.01376
-0.01158,0.12226,0.18306,9.81750,0.25486,0.00626,-0.01300
0.00425,0.12044,0.20465,9.80004,0.25896,-0.01721,-0.02662
0.09336,0.14447,0.18825,9.81263,0.22487,-0.00187,-0.00897
0.01533,0.11768,0.21469,9.78225,0.26306,0.02947,0.01742
0.01704,0.14300,0.22583,9.82576,0.26052,-0.01814,0.00088
-0.02403,0.13974,0.19876,9.78586,0.26758,-0.02289,-0.01268
0.00171,0.14331,0.18823,9.79755,0.26649,0.00369,0.01643
0.05652,0.15058,0.21407,9.82088,0.28222,-0.01308,0.00377
0.00825,0.13488,0.19534,9.79344,0.25725,0.03466,0.02917
0.06018,0.13104,0.19283,9.82488,0.26685,0.00540,0.01051
0.04583,0.13224,0.19291,9.81718,0.25464,-0.01643,0.02714
0.02595,0.12622,0.19275,9.80619,0.25491,0.00053,-0.03637
0.04942,0.14704,0.20160,9.82639,0.25268,0.00411,0.01593
0.01556,0.12409,0.19029,9.79420,0.25790,0.01566,-0.02288
0.03482,0.12769,0.19498,9.80445,0.27398,0.00747,-0.00434
0.04776,0.12581,0.19743,9.82275,0.28208,0.01116,0.02613
-0.01668,0.10266,0.18721,9.80215,0.27793,0.01341,-0.00633
0.02778,0.14243,0.19844,9.83053,0.21939,-0.02336,-0.00080
0.00251,0.14712,0.19396,9.81059,0.29965,0.00652,-0.00419
0.04661,0.14329,0.20772,9.80840,0.23218,-0.00933,-0.00301
0.02428,0.11988,0.18562,9.83761,0.29679,0.00824,-0.05800
0.00069,0.14672,0.18345,9.78746,0.33871,-0.01760,0.00575
-0.01980,0.15103,0.19924,9.79548,0.27548,-0.02472,-0.01862
0.05940,0.14226,0.20277,9.81367,0.27847,0.01731,0.00677
0.00627,0.13779,0.19568,9.79415,0.26083,0.03928,0.03004
0.01511,0.15740,0.19395,9.86458,0.23435,0.00699,-0.00773
0.04105,0.15651,0.20602,9.78017,0.25432,-0.02074,-0.01399
0.02003,0.12762,0.20221,9.81645,0.25842,-0.01607,-0.00158
0.00976,0.15952,0.19766,9.81124,0.26915,-0.03212,-0.00265
0.01293,0.13970,0.20079,9.79631,0.26101,-0.01247,0.00590
0.03164,0.13439,0.18656,9.79784,0.24552,0.00169,-0.00259
0.01224,0.14514,0.18711,9.83806,0.29136,-0.00069,0.00027
0.05276,0.15780,0.20773,9.83136,0.28849,0.03907,-0.00438
0.05134,0.12862,0.21353,9.82017,0.28045,-0.01060,0.02914
0.00457,0.13110,0.20930,9.81016,0.27252,0.01061,-0.00116
0.03340,0.15662,0.17073,9.80059,0.26766,0.01774,0.00846
0.05080,0.15004,0.20187,9.80261,0.26735,-0.03309,0.04218
0.06602,0.14397,0.19763,9.79734,0.24478,-0.00485,-0.02771
-0.00636,0.15368,0.20058,9.80344,0.28896,0.01972,-0.01665
0.03339,0.14390,0.20290,9.80859,0.27002,-0.02557,-0.00891
0.03877,0.13141,0.20630,9.78606,0.25382,0.02289,-0.03314
0.02188,0.16699,0.20501,9.83243,0.25472,0.01787,0.01531
-0.02147,0.14240,0.22105,9.80616,0.28788,0.02929,-0.01734
0.02754,0.14967,0.17303,9.81047,0.25718,0.01421,0.00642
0.04897,0.15464,0.18373,9.80883,0.23987,-0.00014,-0.00247
0.02318,0.14248,0.19241,9.80120,0.28261,0.01053,0.03478
0.00915,0.15789,0.20543,9.78393,0.28846,0.01250,-0.00486
-0.02167,0.15845,0.20326,9.78377,0.26780,-0.01198,0.03065
0.06017,0.16041,0.19595,9.79859,0.28293,-0.00708,0.00657
-0.01125,0.16229,0.21021,9.80509,0.30084,0.00066,-0.00484
0.03821,0.15411,0.19465,9.78451,0.27869,0.01026,-0.01502
0.05013,0.14574,0.20338,9.83085,0.27468,-0.00245,-0.01419
0.06862,0.15676,0.19808,9.83258,0.25024,0.00765,0.03584
0.01504,0.16580,0.18923,9.79459,0.26701,-0.02761,0.01603
0.04019,0.15666,0.17612,9.80945,0.27374,0.03262,0.04931
0.01128,0.14457,0.19943,9.82000,0.24324,-0.00239,-0.00083
0.00535,0.14960,0.18964,9.79444,0.23818,-0.01271,0.00187
0.02896,0.15381,0.19015,9.83053,0.25832,0.00197,0.01834
0.07540,0.13660,0.21226,9.81027,0.27604,-0.02620,0.01951
0.03708,0.15061,0.19779,9.84154,0.25641,0.03761,0.02488
0.01109,0.15259,0.17874,9.84892,0.26449,0.00456,0.02475
0.04480,0.14519,0.19317,9.82433,0.25325,-0.00120,0.01736
0.02909,0.13978,0.19427,9.82450,0.26829,0.00609,0.00496
-0.00638,0.16145,0.20718,9.78937,0.26977,0.01331,-0.00301
0.02330,0.16114,0.20590,9.83546,0.27006,-0.02741,0.03681
0.03437,0.16285,0.20163,9.79520,0.27445,-0.00686,-0.01393
0.06469,0.15888,0.18166,9.81982,0.25532,0.02227,0.00365
0.00501,0.17107,0.17260,9.83538,0.28233,-0.01960,0.02029
0.02089,0.15387,0.19830,9.80612,0.29446,0.01701,-0.00985
0.04581,0.16238,0.18960,9.83144,0.26045,0.01287,0.02273
0.03578,0.15998,0.19496,9.79875,0.25713,0.01256,-0.00773
0.05678,0.15337,0.19235,9.80424,0.27384,-0.00674,-0.00222
0.03207,0.16434,0.20659,9.79380,0.22928,-0.02636,0.01677
-0.01948,0.15172,0.20714,9.76604,0.25780,-0.01983,-0.00030
0.01450,0.16644,0.21119,9.78885,0.31094,0.02223,-0.03355
0.03871,0.16498,0.19666,9.80130,0.23992,0.01806,-0.04083
0.03075,0.16068,0.20758,9.78063,0.22939,0.03024,0.00701
0.02249,0.16658,0.18287,9.81410,0.25008,-0.01484,-0.04624
0.01999,0.15913,0.21797,9.80689,0.23511,0.00084,-0.00868
0.02250,0.16440,0.20935,9.85472,0.25222,0.00318,0.01009
0.07017,0.15299,0.19641,9.81377,0.21357,-0.02311,0.00590
0.00255,0.17217,0.19496,9.82875,0.24435,0.01365,0.01005
0.04585,0.18356,0.20393,9.76087,0.24393,-0.00997,0.03017
0.03686,0.16521,0.19039,9.79947,0.24442,-0.01068,0.02862
0.01235,0.13980,0.20675,9.80368,0.30254,-0.00186,0.02660
0.04812,0.17127,0.19585,9.76694,0.23167,0.02098,0.02557
0.03419,0.16407,0.20051,9.80431,0.24294,-0.02761,0.01647
0.00874,0.16514,0.20100,9.80960,0.25952,0.01975,0.00016
0.07776,0.16151,0.18749,9.81085,0.24084,-0.00264,-0.03962
0.03966,0.16361,0.19173,9.84460,0.26672,-0.00488,0.01683
0.05446,0.16903,0.18571,9.83288,0.20829,-0.01245,0.02239
0.04824,0.16418,0.19747,9.82123,0.24467,0.00900,-0.00747
0.02162,0.17330,0.19198,9.77974,0.24668,-0.01558,-0.00290
0.03093,0.15022,0.18883,9.82077,0.26394,-0.01501,0.00734
0.02407,0.16390,0.20320,9.81197,0.24598,0.00799,0.00954
0.01265,0.15354,0.19816,9.83107,0.26144,0.01656,0.03820
0.01135,0.17121,0.19015,9.81312,0.24676,0.00709,0.00042
-0.01210,0.16204,0.20751,9.83625,0.24244,-0.03619,-0.01267
0.01795,0.17542,0.20472,9.79315,0.26380,-0.01540,0.03798
