emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,emg9,emg10,emg11,emg12,emg13,emg14,emg15,emg16,emg17,emg18,emg19,emg20,emg21,emg22,emg23,emg24,emg25,emg26,emg27,emg28,emg29,emg30,emg31
0.02642,0.57973,0.03026,0.50126,0.01030,0.05160,0.00257,0.39757,0.02441,0.00878,0.04076,0.34751,0.03926,0.05169,0.07282,0.03823,0.62281,0.00181,-0.00811,0.04205,0.55527,0.04084,0.50361,0.41900,0.39897,0.31283,0.53193,0.45158,0.59857,0.06318,0.40818,0.28945
0.06207,0.28617,0.04247,0.41563,0.03178,-0.00272,-0.00349,0.63094,0.06387,0.05171,0.01444,0.56995,0.01044,0.06283,0.00034,0.02348,0.31408,0.04679,0.03752,0.07125,0.73525,0.03168,0.53755,0.32361,0.62467,0.25768,0.64762,0.28824,0.32469,0.03057,0.60939,0.47693
0.02994,0.53157,-0.00210,0.40665,0.00848,0.02898,0.04537,0.57547,0.01187,0.03963,-0.00464,0.54539,0.04589,0.03005,0.03992,-0.01125,0.49458,0.02470,0.03560,0.08230,0.32480,0.00338,0.52112,0.39051,0.42048,0.38560,0.64974,0.59474,0.51768,0.05105,0.67569,0.59360
-0.02241,0.61493,0.05083,0.47408,0.02927,0.01469,0.05994,0.36817,0.00326,-0.00493,0.03522,0.54191,0.06848,0.02952,0.04247,0.01684,0.66721,0.02782,0.01323,-0.00690,0.50187,-0.02046,0.29251,0.55429,0.51239,0.58223,0.72900,0.58340,0.69772,0.01868,0.64199,0.44405
0.04874,0.50782,0.02375,0.65614,-0.00894,0.03667,0.02873,0.55024,0.01899,0.03377,0.02013,0.28168,0.00542,0.03657,0.01367,0.00480,0.61849,0.03277,0.05138,-0.00108,0.25206,0.06030,0.60936,0.42895,0.60398,0.41677,0.45801,0.59098,0.48381,0.00609,0.34806,0.54213
0.08548,0.66235,-0.00551,0.51227,-0.00082,0.00739,0.00939,0.42438,0.05464,0.03663,0.04571,0.50687,0.00018,0.04258,0.00130,0.04242,0.26669,0.02204,0.02610,0.04369,0.46529,0.04703,0.50784,0.34339,0.53632,0.41400,0.43361,0.26079,0.57432,0.04127,0.26716,0.47741
0.03373,0.56635,0.01180,0.54660,0.04530,-0.01169,0.05472,0.38658,0.07214,0.01413,0.04811,0.50311,0.03304,0.05578,0.00143,0.06445,0.62012,0.00134,0.05707,0.04611,0.74610,0.04617,0.76505,0.62549,0.68444,0.60162,0.26292,0.51480,0.53276,0.04072,0.47076,0.31012
-0.00593,0.49383,0.06626,0.57028,0.07105,0.05280,0.07672,0.30543,0.02933,0.03165,0.01399,0.36430,0.06276,0.01980,0.02333,0.03831,0.31184,0.04634,0.03659,0.04534,0.44298,-0.00329,0.25224,0.30239,0.58767,0.54826,0.45499,0.47032,0.66204,0.02795,0.35589,0.50525
0.03416,0.39552,0.03324,0.44860,0.02132,0.01504,-0.00126,0.37026,0.04119,0.05212,0.03059,0.26297,0.03554,0.02736,0.04457,0.04048,0.72677,0.02753,0.04196,0.02398,0.43218,-0.03382,0.47421,0.62058,0.25603,0.30813,0.51602,0.50861,0.67916,0.00121,0.27026,0.69542
0.03675,0.71397,0.03639,0.76372,0.04462,0.02296,0.05361,0.62473,0.03361,-0.02150,0.01722,0.41834,-0.00715,0.00168,0.06682,0.01992,0.41844,-0.00280,0.01027,0.01131,0.56540,0.04979,0.50486,0.66982,0.66263,0.32499,0.73280,0.50333,0.31518,0.03443,0.32906,0.70418
0.02624,0.42886,0.03167,0.54457,0.00645,0.04415,0.03966,0.47254,0.06469,0.01019,0.06158,0.47408,0.08897,0.01019,0.00598,0.05632,0.48817,0.04261,0.06918,0.02935,0.32558,-0.00148,0.34203,0.53302,0.49878,0.31724,0.33730,0.50631,0.39928,0.04454,0.29948,0.52439
0.04520,0.70408,0.01869,0.29402,0.00053,0.02195,0.02429,0.31406,-0.01077,0.03570,0.05226,0.65612,0.05313,0.01565,0.01184,-0.00749,0.52736,0.01916,0.03566,0.00533,0.53982,0.05313,0.44910,0.71801,0.66144,0.37227,0.41531,0.67208,0.70599,0.01960,0.34053,0.74824
0.05153,0.43267,0.01681,0.37303,0.03301,-0.02697,0.04997,0.68832,0.00382,0.03559,0.04469,0.72502,0.03315,0.06254,0.03059,0.02131,0.30600,0.06810,0.03256,-0.00621,0.52904,0.01649,0.55385,0.27244,0.71094,0.51943,0.28367,0.33564,0.38801,0.00594,0.41930,0.74358
0.01226,0.30868,0.06226,0.40824,0.01316,-0.00966,0.05678,0.25602,0.04265,0.00977,0.03208,0.46921,0.03779,0.04378,0.06026,0.04330,0.34827,0.03598,0.02608,0.02696,0.57519,0.05078,0.46874,0.37652,0.69175,0.59902,0.39785,0.35024,0.35212,0.06158,0.66456,0.29811
0.03249,0.50164,0.02778,0.60631,0.03844,0.04353,0.00715,0.33568,0.04464,-0.01446,0.04791,0.73757,0.04818,0.00108,0.01914,0.00040,0.36480,0.02848,0.06737,0.02772,0.67470,0.05694,0.65119,0.54716,0.48370,0.31677,0.48214,0.40058,0.32647,0.07914,0.39646,0.63898
0.03192,0.30135,0.02479,0.62538,0.00941,0.04064,0.03547,0.37795,0.04050,0.02712,0.03827,0.53942,0.05863,0.02248,0.00617,-0.00164,0.69312,0.00074,0.03119,0.02126,0.45514,0.03754,0.67093,0.32994,0.67815,0.41660,0.66657,0.34599,0.43839,0.06146,0.27419,0.29244
0.05061,0.72955,0.04971,0.31437,0.04156,0.01773,0.03009,0.72775,0.04112,0.00744,0.00596,0.51400,0.01706,0.02150,0.00461,0.02834,0.65849,0.02232,0.06013,0.02544,0.59005,0.01616,0.41251,0.31231,0.33987,0.52049,0.64787,0.53547,0.60066,-0.00566,0.28567,0.61429
0.03795,0.26057,0.05690,0.75574,0.04325,0.02276,0.04781,0.49404,0.02446,0.03903,-0.00645,0.71923,0.02273,0.01119,0.02405,0.05488,0.52916,0.03776,0.02702,0.03102,0.75154,0.05849,0.29617,0.63057,0.53461,0.57047,0.26947,0.39950,0.46294,0.02652,0.68527,0.71371
0.00502,0.69873,0.05067,0.23445,0.04668,0.06301,0.02338,0.66894,0.03778,0.01047,0.05106,0.37465,0.02655,0.01501,0.04045,0.01225,0.65118,0.03260,0.04655,0.03579,0.63492,0.01759,0.60738,0.74753,0.68400,0.32186,0.43052,0.35079,0.49551,0.09320,0.64205,0.71885
0.02497,0.64036,0.06168,0.30434,-0.00778,0.02069,0.03499,0.27586,0.04797,0.06661,0.04634,0.34295,0.04654,0.05695,0.07146,0.02569,0.49317,0.04286,0.02659,0.06479,0.44229,-0.00209,0.74783,0.58842,0.34119,0.36557,0.26647,0.68054,0.65256,0.02841,0.36501,0.42408
0.01880,0.75572,0.05125,0.42230,0.00321,0.02291,0.02482,0.49861,0.02394,0.01343,0.05661,0.45460,0.00800,0.02236,0.05071,0.00373,0.60126,0.04551,0.00705,0.03902,0.60349,-0.01126,0.44751,0.67100,0.61008,0.62533,0.71017,0.49921,0.39172,0.03541,0.37974,0.51015
0.02326,0.37737,0.05574,0.27833,0.02881,0.01852,-0.00987,0.49965,0.03277,0.04787,0.04640,0.68843,0.02641,0.01432,0.05346,0.04582,0.34312,0.01073,0.01919,0.03036,0.35460,0.04510,0.36146,0.25494,0.29652,0.56075,0.57073,0.41457,0.58491,0.05414,0.53800,0.67566
0.06971,0.27306,0.00999,0.70572,0.05104,0.01497,0.02703,0.69745,0.02790,0.04892,0.01592,0.76075,0.05665,0.03236,0.03794,-0.00090,0.66991,0.02628,0.02031,0.01980,0.29483,-0.02888,0.55672,0.33100,0.44019,0.74258,0.52226,0.46968,0.44571,0.03113,0.66542,0.73306
0.02956,0.57630,0.01166,0.49967,0.05725,0.04539,0.03999,0.26885,0.01326,0.03468,0.03037,0.62905,0.05013,-0.00596,0.03731,0.03532,0.27395,0.06774,0.02140,0.02224,0.46400,0.05140,0.62267,0.35150,0.69507,0.43223,0.62040,0.44381,0.47799,0.02726,0.36607,0.37881
0.03161,0.31539,0.05261,0.42454,0.00944,0.01180,0.04799,0.26278,0.07395,0.04985,0.04979,0.54232,0.05455,0.03996,0.00387,0.02819,0.34641,0.02194,0.02464,0.02204,0.42999,0.01818,0.46057,0.49744,0.32705,0.70553,0.37465,0.53133,0.70880,0.05149,0.61687,0.46089
0.06366,0.33347,0.02178,0.68402,0.03443,0.04602,0.04767,0.39448,0.02106,0.02169,0.02110,0.54697,0.04755,0.00815,0.04809,0.03407,0.68504,0.03863,0.03526,0.06039,0.72273,0.01124,0.72646,0.51999,0.44066,0.32107,0.35567,0.55694,0.51762,0.04845,0.26152,0.60953
0.03733,0.45773,0.03709,0.48335,-0.01196,0.01079,0.03104,0.63390,-0.00458,0.01776,0.04092,0.37322,0.06151,-0.00573,0.03832,0.03078,0.42595,0.00090,0.05754,0.02947,0.72045,0.02892,0.65135,0.27569,0.72688,0.37229,0.36969,0.63208,0.54150,0.02337,0.48509,0.39621
0.01890,0.76337,0.02839,0.67496,0.04883,0.01895,0.04927,0.44249,0.01315,0.01662,0.05180,0.45506,0.06476,0.05796,0.01382,0.02749,0.47957,0.02456,0.05660,0.02056,0.31245,0.00769,0.53790,0.39792,0.30858,0.65265,0.59772,0.38776,0.50205,0.03718,0.40938,0.33042
0.03605,0.71077,0.03504,0.33263,0.04831,0.01435,0.03203,0.67684,0.02115,0.05034,0.01272,0.30558,0.01198,0.04844,0.05694,0.01343,0.34048,0.05356,0.02691,0.05497,0.27483,0.02570,0.64719,0.42176,0.31531,0.30323,0.68981,0.34368,0.68775,0.03564,0.60532,0.63829
-0.00893,0.20598,0.00703,0.69272,0.04106,0.02243,0.01179,0.28207,0.02664,0.02409,0.00755,0.68073,0.03270,0.01205,0.02778,0.02644,0.43039,0.04620,0.05995,-0.00957,0.42751,0.03278,0.33255,0.72034,0.26121,0.25876,0.40914,0.26377,0.23643,0.03329,0.69563,0.41894
0.01347,0.41170,0.02549,0.71168,0.02760,0.01394,0.00176,0.36650,0.00868,-0.00769,0.01442,0.27028,0.04819,0.03893,0.06506,0.02310,0.56005,0.01266,0.03467,0.06839,0.67577,0.02768,0.44501,0.63268,0.61284,0.47337,0.44902,0.72976,0.44086,0.02817,0.33360,0.25221
0.00287,0.61969,0.00524,0.28347,0.02947,0.02365,-0.00728,0.67410,0.02850,0.06645,0.01039,0.58489,0.02051,0.01592,0.00432,-0.01157,0.63722,0.04579,0.00632,0.01638,0.36745,0.02523,0.58339,0.56588,0.76557,0.74669,0.42832,0.25786,0.39545,0.00043,0.25420,0.56706
0.03841,0.37970,0.07325,0.43123,0.04161,0.02247,0.02800,0.56381,0.06825,0.03299,0.03049,0.56538,0.04175,0.03246,0.00217,0.03084,0.73371,0.04006,0.06394,0.02808,0.57793,0.04378,0.64239,0.55394,0.32402,0.68560,0.32697,0.50673,0.70627,0.01799,0.34954,0.56680
0.03937,0.63370,0.05254,0.24993,-0.00687,0.02390,0.01782,0.37038,-0.00306,0.02757,-0.01596,0.65440,0.00050,0.01893,0.01845,0.03648,0.45435,0.01763,0.00828,-0.01315,0.36559,0.01600,0.55872,0.68165,0.50482,0.61835,0.38222,0.37421,0.56444,0.03013,0.33983,0.45679
0.04046,0.57491,0.03979,0.34642,0.02636,0.04177,0.01623,0.63996,0.05377,0.04084,0.01963,0.51633,-0.00383,0.07071,0.07040,-0.00355,0.67734,0.02486,0.01408,0.03754,0.38339,0.02496,0.73104,0.45718,0.49024,0.40155,0.56080,0.55264,0.52779,0.02006,0.33208,0.55722
0.03699,0.57770,0.00860,0.48072,0.03214,0.03553,0.06988,0.71995,0.05983,0.06970,0.03024,0.62160,0.05042,0.01530,0.02403,0.04640,0.46216,0.04505,0.05082,0.03010,0.66757,0.03839,0.34556,0.73714,0.49313,0.40261,0.30553,0.71088,0.29879,-0.00521,0.64458,0.64707
0.03807,0.33327,0.02893,0.53288,0.00307,0.00012,0.00489,0.65923,0.04537,0.07282,0.03408,0.72510,0.04640,0.02945,0.00115,0.01797,0.56301,-0.00369,0.00610,0.05802,0.74594,-0.00008,0.28615,0.51549,0.71491,0.38796,0.69819,0.30676,0.46333,-0.00455,0.65695,0.62108
0.05557,0.72033,0.03840,0.37097,0.02728,0.05208,0.05049,0.49981,0.08900,0.05263,0.04421,0.59511,0.05488,0.04801,0.03380,0.01653,0.49357,0.02951,0.00228,0.08766,0.47403,0.02305,0.41822,0.47542,0.32333,0.76947,0.68437,0.38961,0.61138,0.01179,0.72386,0.70124
0.00046,0.28529,0.02209,0.45471,0.07984,0.04021,0.04406,0.62116,0.04311,0.02360,0.01732,0.55730,-0.00018,-0.02266,0.02341,0.01644,0.37443,0.02154,0.05370,0.02636,0.60261,0.00991,0.34058,0.35034,0.44536,0.58530,0.22567,0.51816,0.47635,0.02686,0.23706,0.33425
0.01052,0.72400,0.01527,0.32395,0.02377,0.05080,0.03812,0.45406,0.01671,0.01613,0.03269,0.61236,-0.01922,0.03852,0.01194,0.02694,0.31607,0.00237,0.04976,0.01493,0.69024,0.03374,0.41472,0.29147,0.32114,0.31725,0.53326,0.48696,0.60311,0.02354,0.54798,0.48914
0.01913,0.59694,0.06685,0.70445,0.07523,-0.00342,0.02943,0.69354,0.02875,0.00164,0.06203,0.25014,0.02758,0.06345,0.00696,0.06054,0.44111,0.00199,0.00908,0.01402,0.42955,0.04979,0.46608,0.47217,0.28536,0.70240,0.28334,0.24232,0.55128,0.05985,0.55312,0.61988
0.04088,0.56260,0.01231,0.44839,-0.00029,0.02741,0.01076,0.43585,0.01207,-0.00176,0.02265,0.52637,0.00796,0.07733,0.04414,0.05072,0.72810,0.04095,0.03299,0.03438,0.59390,0.01509,0.38487,0.60573,0.41568,0.57090,0.60669,0.51634,0.40484,0.04580,0.46849,0.36925
0.01182,0.68726,-0.02013,0.27936,0.02312,0.02326,0.00642,0.26164,0.01605,-0.00793,0.04735,0.43510,0.03793,0.02665,0.01778,0.04604,0.36948,-0.01399,0.05592,0.05677,0.73721,0.03804,0.31902,0.56818,0.49444,0.72300,0.73009,0.34075,0.43412,0.00406,0.39890,0.57551
0.02655,0.59265,0.02234,0.63677,-0.00263,0.03652,0.05099,0.53291,0.00297,0.00937,0.03327,0.52394,0.03178,0.02154,0.03943,0.04659,0.69591,0.06998,0.06066,0.01999,0.55152,0.04029,0.37914,0.60565,0.68015,0.36410,0.32763,0.73886,0.27195,0.02931,0.50442,0.41177
