emg0,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,imu2_ax,imu2_ay,imu2_az,imu2_gx,imu2_gy,imu2_gz
0.06349,1.47144,0.04375,9.70314,0.19282,-0.01670,-0.01688,-4.26262,0.04032,8.81508,0.20878,-0.01628,0.00349
0.00775,1.46918,0.06285,9.70138,0.18392,0.02685,0.02890,-4.27923,0.05472,8.85816,0.16388,0.00778,-0.01012
0.02552,1.46281,0.04036,9.71065,0.17726,-0.00907,0.02908,-4.26191,0.04061,8.82274,0.19327,0.01144,-0.01407
0.08840,1.44741,0.05837,9.69190,0.16719,-0.02764,0.01976,-4.27454,0.03846,8.84320,0.19603,-0.00233,-0.00888
0.04948,1.46395,0.06308,9.69305,0.16875,-0.00212,0.03144,-4.26079,0.04834,8.83281,0.16467,0.00383,-0.02503
0.06389,1.48014,0.06769,9.71223,0.21228,0.02024,-0.00775,-4.26664,0.04667,8.84022,0.16787,0.02048,-0.00074
0.04168,1.48167,0.06922,9.71460,0.19426,-0.00321,-0.01418,-4.26831,0.05065,8.81046,0.19100,0.01825,-0.01676
0.02713,1.47812,0.06046,9.72771,0.18379,-0.01063,0.01153,-4.27559,0.05085,8.85147,0.20634,0.00018,-0.02367
0.01973,1.47873,0.06146,9.69775,0.17894,-0.01892,-0.00654,-4.25802,0.04804,8.81837,0.19653,0.01050,0.00709
0.03668,1.47494,0.07335,9.66723,0.19957,-0.02453,-0.02157,-4.25203,0.05278,8.80653,0.16315,0.01850,0.01092
0.03953,1.45856,0.05830,9.72723,0.18733,-0.02316,0.03947,-4.26316,0.04742,8.82658,0.19221,0.00681,-0.03126
0.03966,1.48396,0.07121,9.68413,0.17615,0.00011,0.00584,-4.27377,0.07076,8.86000,0.19413,0.00384,-0.01392
0.02539,1.46588,0.06068,9.68947,0.21224,-0.03373,0.03940,-4.26555,0.07143,8.80651,0.18698,-0.02401,-0.00436
0.00961,1.46104,0.08877,9.70972,0.17306,0.00719,0.01352,-4.24539,0.04914,8.83163,0.20951,0.00630,-0.01221
0.02628,1.46881,0.06388,9.69117,0.18130,-0.02434,0.03031,-4.26552,0.06390,8.79727,0.18125,-0.01299,-0.00930
0.02231,1.45128,0.07108,9.72252,0.16526,0.00861,-0.02444,-4.27887,0.07092,8.82159,0.18738,0.02320,-0.02001
0.03419,1.46562,0.06843,9.69450,0.17256,0.00207,-0.01033,-4.26531,0.06465,8.83694,0.21577,0.01724,-0.02707
0.00723,1.46586,0.08285,9.73072,0.16713,-0.01593,-0.02155,-4.26319,0.07451,8.82463,0.18457,0.05745,-0.00881
0.01484,1.46599,0.08657,9.65574,0.13611,-0.02326,-0.02391,-4.26830,0.08243,8.84113,0.19920,-0.00556,0.02666
0.04084,1.46861,0.09941,9.73005,0.19156,-0.01609,0.01402,-4.25051,0.08606,8.80488,0.18702,-0.01211,-0.02251
0.01944,1.46717,0.08461,9.70010,0.18298,0.01853,0.00479,-4.27491,0.07961,8.82581,0.14501,-0.01503,-0.01685
-0.00560,1.46288,0.08206,9.67871,0.19071,0.00027,-0.03939,-4.27116,0.06980,8.81845,0.22579,-0.03206,-0.01998
0.05169,1.46743,0.08436,9.69583,0.19881,-0.01750,0.00793,-4.25825,0.08618,8.78913,0.21389,-0.00784,-0.00727
0.01860,1.46199,0.07599,9.72874,0.18330,-0.00776,0.00413,-4.25262,0.07943,8.84761,0.17994,0.00745,0.00450
0.05448,1.46568,0.08410,9.73503,0.17952,-0.00238,-0.03409,-4.28187,0.06547,8.81432,0.16453,0.00464,0.03429
0.04106,1.45459,0.09495,9.69641,0.19901,-0.02529,-0.00554,-4.27126,0.07749,8.80557,0.16658,-0.02454,-0.00435
0.00356,1.46420,0.10044,9.71603,0.17657,-0.02606,0.00153,-4.27082,0.10093,8.83989,0.17128,0.00822,0.01444
0.02033,1.47928,0.09520,9.73295,0.22260,0.02774,0.03057,-4.26618,0.07552,8.84947,0.16548,-0.03335,-0.01761
0.07555,1.46853,0.09403,9.69867,0.22842,-0.01481,-0.00742,-4.26299,0.09654,8.84279,0.17949,0.01492,0.02143
0.02282,1.46192,0.08254,9.71022,0.20119,-0.02805,-0.02096,-4.25473,0.09676,8.84581,0.16658,-0.00519,0.02690
0.05266,1.46205,0.10115,9.70923,0.20529,-0.00632,-0.01862,-4.27273,0.09764,8.79462,0.20180,-0.00811,-0.00183
0.00332,1.47009,0.09227,9.69307,0.21060,0.00892,-0.01509,-4.26605,0.08645,8.83912,0.17924,0.01071,-0.01585
0.03897,1.46414,0.10201,9.69210,0.15164,0.02694,0.01651,-4.27313,0.10378,8.82612,0.19099,0.01050,0.01297
0.00190,1.47265,0.11514,9.68422,0.21657,0.00047,-0.00196,-4.25674,0.10131,8.86757,0.17596,0.01253,0.02787
0.03717,1.47139,0.09732,9.70887,0.22995,-0.01831,0.00537,-4.27630,0.09309,8.83367,0.17307,0.02067,-0.01564
-0.02844,1.44177,0.09563,9.66961,0.16372,0.00725,-0.00632,-4.26529,0.09433,8.83606,0.19593,0.02408,-0.02258
0.03634,1.44976,0.12194,9.70775,0.18997,0.00491,0.01914,-4.26244,0.09920,8.83599,0.20320,-0.00411,-0.01814
-0.03904,1.44846,0.11104,9.68272,0.18162,-0.00975,0.03517,-4.25881,0.11156,8.80651,0.19366,-0.03589,-0.01775
0.03781,1.47166,0.12974,9.68999,0.16056,0.01681,0.03435,-4.27150,0.09771,8.83177,0.15268,0.00585,0.00310
0.03435,1.46540,0.11137,9.69886,0.19444,-0.01533,0.02060,-4.27245,0.10033,8.84193,0.20888,-0.01540,0.05089
0.03560,1.45535,0.09657,9.69293,0.19039,0.04045,0.01427,-4.25701,0.09991,8.84167,0.18294,-0.00159,-0.01185
0.03708,1.49951,0.11664,9.73493,0.15909,-0.02517,-0.00053,-4.25844,0.10643,8.83898,0.23298,0.00835,-0.02696
0.03145,1.46902,0.12925,9.70439,0.16791,0.00728,-0.00107,-4.26385,0.10099,8.85412,0.17691,0.01523,-0.01084
0.02867,1.47206,0.11048,9.68165,0.18376,0.00094,-0.00948,-4.28251,0.11217,8.82908,0.15893,-0.03395,-0.02469
0.02595,1.46828,0.12859,9.65219,0.23682,0.03285,0.01772,-4.26594,0.10653,8.87856,0.18556,-0.00606,-0.00355
0.00411,1.46401,0.11669,9.70277,0.22502,0.02821,-0.01281,-4.26160,0.11797,8.84095,0.18835,0.01417,0.01612
0.03145,1.45356,0.13037,9.69395,0.19969,0.01741,0.01715,-4.28773,0.12078,8.83723,0.19535,0.03110,0.01676
0.08149,1.45740,0.11719,9.69726,0.21660,-0.00377,-0.00344,-4.27208,0.14264,8.79860,0.18995,-0.01096,-0.03700
-0.01498,1.45874,0.12814,9.67316,0.18512,0.00356,0.00406,-4.25046,0.12112,8.83370,0.14906,0.03137,-0.03811
0.00147,1.48125,0.13459,9.69756,0.18756,-0.02727,0.03843,-4.25938,0.11418,8.80160,0.18704,0.00047,-0.00728
0.00062,1.45030,0.16457,9.68203,0.17395,0.02364,0.03946,-4.28294,0.11246,8.85867,0.18907,0.01934,-0.01027
0.02123,1.46915,0.13858,9.72417,0.18243,-0.02540,-0.01347,-4.27548,0.13116,8.86449,0.16910,0.02346,0.00908
0.03057,1.46641,0.13640,9.68484,0.17266,0.00208,-0.01348,-4.28139,0.14068,8.82451,0.17335,-0.00706,-0.04487
0.00119,1.46610,0.14146,9.67940,0.18940,0.00676,-0.00955,-4.27032,0.13434,8.80725,0.16044,0.01240,0.00611
0.02501,1.48738,0.14447,9.70744,0.17587,-0.00296,0.01192,-4.26460,0.14453,8.82226,0.20912,0.02848,-0.01397
0.05391,1.46578,0.14184,9.73991,0.19878,-0.02650,0.01419,-4.26767,0.13231,8.83465,0.16341,0.02046,-0.01236
0.04735,1.48357,0.15469,9.70927,0.19029,0.01063,0.01461,-4.27059,0.12220,8.78710,0.20785,-0.01021,0.00177
-0.03478,1.47687,0.14679,9.72349,0.15722,0.02286,0.01405,-4.27574,0.12898,8.83541,0.19361,0.01419,-0.00429
0.06153,1.45395,0.15399,9.69137,0.17164,0.01768,0.01966,-4.26179,0.13429,8.83335,0.18748,-0.00053,-0.00821
0.02829,1.47429,0.16514,9.68666,0.18428,-0.04566,0.02098,-4.25254,0.14851,8.83043,0.17614,-0.02639,0.03512
-0.00488,1.46293,0.15091,9.66862,0.16869,-0.00854,0.00338,-4.27872,0.14211,8.85099,0.18039,-0.00256,-0.01472
0.02834,1.46185,0.14484,9.69606,0.17970,-0.00566,-0.00208,-4.23732,0.15118,8.82441,0.20065,-0.03548,-0.00792
0.03846,1.47829,0.14021,9.73229,0.16185,-0.00141,0.02909,-4.27769,0.13895,8.88258,0.18575,0.00615,0.01979
0.03367,1.46614,0.15303,9.72242,0.19664,-0.01860,-0.01641,-4.28050,0.13125,8.83614,0.21743,0.00853,0.01263
0.00721,1.46663,0.16208,9.70883,0.18810,-0.02440,0.01615,-4.26036,0.15549,8.82673,0.17763,-0.00793,0.01038
0.03449,1.46869,0.16286,9.70017,0.19443,0.02848,-0.01188,-4.26599,0.15331,8.82730,0.16523,0.00616,-0.00842
0.04253,1.48188,0.18119,9.70737,0.19424,0.00649,-0.00318,-4.26434,0.14962,8.84536,0.17277,-0.03400,-0.01985
0.05136,1.47120,0.15654,9.67175,0.22219,0.02045,0.01408,-4.26442,0.15426,8.84385,0.18990,-0.01691,-0.01200
0.02857,1.45084,0.15854,9.70208,0.15730,-0.02494,0.01798,-4.25302,0.14815,8.83011,0.19161,-0.01527,0.01801
0.01208,1.47502,0.17397,9.71193,0.21023,0.00428,-0.01278,-4.25852,0.16258,8.81291,0.18805,-0.01795,-0.00674
0.06395,1.44767,0.15554,9.70654,0.20339,-0.01244,-0.01413,-4.28896,0.16676,8.84408,0.17329,0.01174,-0.00540
0.05343,1.46555,0.18819,9.67848,0.19587,0.03015,-0.00387,-4.27213,0.15413,8.83526,0.20867,0.02883,0.00155
0.01622,1.46750,0.17803,9.70765,0.19553,-0.00675,-0.00318,-4.26160,0.16189,8.85206,0.21257,0.02856,-0.01617
0.06013,1.46539,0.18293,9.68145,0.15298,-0.03264,-0.03761,-4.27841,0.15894,8.88075,0.18394,-0.02425,-0.02212
0.05181,1.47191,0.17211,9.73257,0.21150,0.01374,-0.00642,-4.27415,0.16582,8.84922,0.18885,0.01070,0.05887
0.03053,1.47233,0.17984,9.69358,0.19328,-0.01400,-0.00282,-4.26747,0.17143,8.84635,0.15476,0.00046,0.00808
0.05425,1.45599,0.17468,9.70893,0.18438,-0.01885,-0.03157,-4.26368,0.17752,8.81886,0.18604,0.01780,-0.02547
0.04950,1.46831,0.17698,9.70405,0.14548,-0.03189,-0.03651,-4.27175,0.17374,8.81624,0.20453,0.01247,-0.01562
0.02335,1.45937,0.18988,9.69635,0.19228,0.01568,0.01612,-4.26264,0.16124,8.84982,0.20998,-0.01421,0.04192
0.02125,1.46450,0.19219,9.67960,0.21646,-0.01455,-0.01002,-4.25484,0.16655,8.80094,0.21134,0.01630,0.03564
-0.03165,1.47414,0.19626,9.71249,0.17608,-0.05787,-0.00194,-4.25720,0.18052,8.82500,0.23766,-0.00072,-0.01547
0.00095,1.48499,0.17752,9.70482,0.17262,-0.00700,0.01570,-4.26768,0.17137,8.81878,0.18236,0.00182,-0.01420
0.04222,1.46426,0.17878,9.69143,0.22227,0.03292,0.01962,-4.28722,0.17953,8.83951,0.17099,0.01858,0.03884
0.04889,1.47125,0.20337,9.71377,0.18499,0.01694,-0.01292,-4.25218,0.16805,8.82923,0.22656,-0.01764,-0.02444
-0.01224,1.46624,0.20477,9.72259,0.18989,-0.00415,-0.03510,-4.27025,0.19280,8.80540,0.19179,0.02137,-0.02511
0.03465,1.46309,0.20490,9.68827,0.19000,0.02443,-0.01528,-4.25076,0.18624,8.82022,0.15308,0.01808,-0.04276
0.03408,1.46178,0.19226,9.67415,0.19239,0.00128,0.02276,-4.25093,0.18528,8.84091,0.18167,0.01636,-0.02518
-0.02253,1.47434,0.20417,9.72780,0.18184,0.03198,0.03135,-4.26601,0.17243,8.82552,0.18192,0.04370,-0.00180
0.02989,1.47921,0.20116,9.70700,0.19002,-0.01228,-0.00494,-4.28034,0.19257,8.86109,0.20966,-0.02754,-0.01774
0.07047,1.45331,0.22335,9.69017,0.17636,0.00117,0.01211,-4.27796,0.17476,8.80237,0.19895,0.00893,0.02261
0.05225,1.46607,0.19307,9.70267,0.21776,-0.02325,0.00284,-4.27402,0.19118,8.85222,0.13459,-0.00244,-0.00861
0.01814,1.46901,0.20961,9.70804,0.21326,0.00239,-0.00986,-4.27288,0.19109,8.84318,0.17242,0.01893,0.01351
0.04298,1.47443,0.23869,9.68091,0.19690,0.05053,-0.01240,-4.27972,0.19473,8.83919,0.20675,-0.02294,0.01165
0.01832,1.46448,0.23347,9.70167,0.16556,-0.01507,0.02990,-4.26235,0.19965,8.84497,0.18536,-0.00418,-0.01073
0.06443,1.46022,0.20443,9.67235,0.17011,0.06607,-0.03461,-4.24192,0.20440,8.81109,0.18196,-0.02896,-0.01568
-0.01609,1.47583,0.21472,9.67084,0.21387,-0.04652,-0.04256,-4.26347,0.21212,8.84323,0.17923,0.02822,-0.02130
0.03160,1.46245,0.21180,9.67765,0.18387,0.03007,-0.00939,-4.26677,0.20059,8.85411,0.17225,0.03616,0.03270
0.02392,1.46525,0.22248,9.68978,0.17606,-0.01523,0.01336,-4.25062,0.20744,8.82367,0.17558,0.01069,-0.01998
0.05582,1.47226,0.22359,9.69141,0.17714,0.02358,0.01432,-4.28939,0.19777,8.81489,0.15922,0.01394,0.02325
0.05385,1.46020,0.23349,9.74353,0.19287,0.02683,0.01734,-4.27278,0.20080,8.82015,0.21064,-0.00801,0.00997
0.04018,1.46601,0.22623,9.71855,0.18982,0.00291,-0.02084,-4.27714,0.21954,8.84933,0.20242,0.00917,0.02426
0.02809,1.44408,0.23860,9.67690,0.20196,-0.01228,-0.01631,-4.27814,0.20297,8.83351,0.19965,-0.02296,0.00137
-0.01012,1.45573,0.23994,9.71853,0.18573,-0.00427,0.02983,-4.27093,0.22161,8.82533,0.16313,0.00390,-0.02300
0.07374,1.48014,0.22640,9.72213,0.16972,-0.00357,0.00923,-4.25264,0.22056,8.82472,0.19927,0.02862,-0.00855
0.03031,1.46119,0.23592,9.70134,0.19338,0.00522,0.01889,-4.28146,0.20317,8.83250,0.21360,-0.00110,-0.04343
0.04169,1.46587,0.23511,9.67442,0.20013,-0.01363,0.01049,-4.27243,0.20532,8.80960,0.20308,-0.03780,-0.02503
0.07275,1.47576,0.23044,9.70910,0.18596,-0.00488,0.00325,-4.26903,0.20842,8.84106,0.18077,-0.02140,0.03187
0.05193,1.45328,0.23372,9.71789,0.18287,0.02189,0.01809,-4.27021,0.21345,8.82597,0.17448,0.00843,0.02963
0.03038,1.45982,0.23756,9.70646,0.19880,0.01752,0.00457,-4.25889,0.23905,8.82757,0.15428,-0.02926,-0.01859
0.01447,1.46088,0.25146,9.71508,0.17818,-0.01544,0.00673,-4.27078,0.22799,8.86748,0.16146,-0.00050,-0.01713
0.06093,1.47542,0.23704,9.68377,0.21182,-0.01166,0.00028,-4.27446,0.21740,8.79260,0.18430,0.02161,0.00609
0.08212,1.46493,0.25868,9.68359,0.16166,-0.01042,-0.00423,-4.25849,0.22712,8.80662,0.20094,-0.04630,0.00673
0.03262,1.45521,0.24989,9.67255,0.19777,-0.01233,0.00005,-4.26233,0.24732,8.83261,0.17833,-0.00454,-0.00357
0.02014,1.47456,0.25254,9.71611,0.17350,0.00994,0.02641,-4.26495,0.21841,8.80429,0.19235,0.00656,-0.00802
0.03790,1.46814,0.24420,9.70355,0.19802,-0.00490,-0.01983,-4.27531,0.23191,8.82050,0.18630,-0.01870,0.00647
0.04448,1.44679,0.25853,9.71267,0.16931,-0.01075,-0.00730,-4.27923,0.22417,8.85786,0.14420,-0.01994,-0.00723
0.06344,1.45959,0.26292,9.69115,0.17700,0.01294,-0.00105,-4.25812,0.22958,8.83577,0.19202,0.02463,-0.02866
0.05405,1.47360,0.27461,9.71278,0.21269,0.02599,0.02976,-4.26326,0.24484,8.83861,0.20642,-0.00216,-0.00323
-0.00311,1.47000,0.24389,9.69552,0.19408,-0.01907,0.01640,-4.28400,0.25343,8.83745,0.21670,-0.00208,-0.01041
-0.00930,1.46279,0.27750,9.70748,0.18482,0.00292,-0.00816,-4.27304,0.22789,8.83579,0.18306,-0.00538,0.06329
0.02784,1.46308,0.26530,9.73150,0.21235,-0.04180,0.01903,-4.25129,0.23315,8.81984,0.17794,0.00801,0.00033
0.00526,1.46636,0.25806,9.73901,0.23531,-0.01041,-0.01023,-4.26349,0.24513,8.77984,0.22362,0.00881,0.04005
0.02481,1.47350,0.26286,9.69766,0.17713,-0.02786,-0.01984,-4.26217,0.24406,8.82885,0.19454,-0.00871,-0.02719
0.04124,1.45747,0.28798,9.71126,0.19332,-0.00466,0.00495,-4.26126,0.24217,8.83318,0.21391,0.00452,-0.03653
0.03575,1.46743,0.28560,9.67859,0.21155,0.00721,-0.04677,-4.26077,0.25162,8.79529,0.20073,-0.04271,0.02189
0.02215,1.47523,0.28728,9.68510,0.22747,0.03425,0.01319,-4.27088,0.22576,8.82759,0.22905,-0.03365,0.00806
0.04294,1.45887,0.27063,9.67957,0.18704,0.00944,0.00619,-4.28020,0.26414,8.79515,0.20563,0.00584,-0.02397
0.03620,1.47452,0.28803,9.68337,0.17446,0.00506,-0.00524,-4.25945,0.26222,8.83844,0.16257,-0.00748,-0.01826
0.03471,1.47350,0.26107,9.69441,0.20944,-0.00752,-0.01528,-4.27487,0.25315,8.82186,0.19175,0.00972,0.00533
0.03412,1.46885,0.27865,9.67719,0.13387,-0.03432,-0.01182,-4.26716,0.25113,8.87697,0.16022,0.03514,0.01761
0.01027,1.46746,0.28798,9.65142,0.17241,-0.01080,-0.02368,-4.27429,0.25588,8.84840,0.16102,-0.01886,0.00769
0.01228,1.47578,0.30229,9.72700,0.17642,0.00004,0.02554,-4.26615,0.25953,8.83673,0.17871,0.00944,0.00811
0.02921,1.45885,0.29185,9.68214,0.22986,-0.01139,-0.00007,-4.26756,0.25290,8.82633,0.20411,-0.00249,-0.04061
0.03081,1.45390,0.28638,9.66930,0.18617,-0.00771,0.01390,-4.26103,0.26174,8.84714,0.16635,-0.01710,0.01656
-0.00560,1.45279,0.29399,9.72366,0.15961,0.00056,0.01656,-4.27273,0.25807,8.81922,0.21312,-0.00872,-0.00592
0.03387,1.47597,0.28480,9.69878,0.17622,-0.00729,0.00896,-4.28516,0.27449,8.82455,0.19435,0.00392,-0.00998
-0.00649,1.45588,0.29679,9.70878,0.22848,0.01968,0.03286,-4.27178,0.26705,8.84063,0.17365,0.03066,-0.00613
0.00874,1.45045,0.29747,9.70700,0.20443,0.01484,-0.02839,-4.27977,0.24629,8.84809,0.19270,-0.00791,0.01332
0.01508,1.45592,0.30119,9.70309,0.21035,0.01816,0.00037,-4.26988,0.26748,8.85376,0.20604,-0.02515,0.02039
0.04835,1.46862,0.29386,9.71188,0.15680,-0.01163,0.01206,-4.27782,0.25319,8.82323,0.16338,0.01711,-0.01829
0.04787,1.46554,0.31624,9.69703,0.20123,0.01132,-0.00651,-4.26821,0.26943,8.84509,0.21294,0.02834,0.03558
0.02054,1.48599,0.29138,9.66665,0.18788,-0.03749,0.00463,-4.28416,0.27195,8.85673,0.18036,-0.00801,0.03961
0.03905,1.46102,0.29808,9.69927,0.18387,0.01208,-0.02435,-4.27715,0.27070,8.83345,0.19880,0.00578,-0.00249
0.03036,1.45658,0.29677,9.69784,0.17808,-0.00510,-0.04684,-4.25577,0.27105,8.85494,0.15688,0.03364,0.02137
0.03771,1.45690,0.28535,9.66019,0.18215,0.03017,0.00973,-4.26364,0.27762,8.81978,0.18093,-0.00210,0.01483
0.00083,1.46369,0.30275,9.69702,0.18747,0.03058,-0.01295,-4.27337,0.27922,8.79666,0.21213,0.02826,0.00068
0.03122,1.47275,0.30299,9.69219,0.17573,-0.04532,-0.01123,-4.26896,0.26661,8.84685,0.20398,0.03052,0.00078
0.02139,1.45559,0.30974,9.70964,0.15725,0.03611,-0.01601,-4.26139,0.29556,8.86060,0.16097,-0.04228,-0.00043
0.04520,1.46145,0.31785,9.67596,0.18695,-0.02374,-0.02741,-4.28256,0.30730,8.81871,0.18741,-0.03419,0.00975
0.04219,1.44146,0.30729,9.73644,0.22133,0.01089,0.02745,-4.26530,0.28096,8.83289,0.21447,0.02026,0.01455
0.04847,1.46430,0.32377,9.72480,0.18639,-0.00717,-0.03106,-4.26474,0.29122,8.78127,0.23640,0.00613,-0.01962
0.03671,1.45354,0.32586,9.67648,0.20659,0.04278,0.00169,-4.27148,0.28965,8.81968,0.17439,0.00355,-0.02764
0.00971,1.46949,0.30961,9.70032,0.22801,0.03392,-0.03421,-4.25747,0.28464,8.80899,0.17846,0.02803,0.01308
0.07173,1.46848,0.31775,9.67963,0.19949,0.01933,-0.00583,-4.27159,0.29812,8.84638,0.16826,0.01468,0.00987
0.00120,1.45701,0.32933,9.68688,0.17482,0.02411,-0.01337,-4.27939,0.30653,8.82966,0.18411,0.01035,0.00275
0.01979,1.44918,0.32917,9.67161,0.20134,0.00721,-0.00014,-4.27985,0.30264,8.80279,0.18982,-0.02541,-0.00883
0.01765,1.45905,0.32006,9.71653,0.16889,-0.00880,0.02124,-4.26158,0.30487,8.79429,0.19289,-0.00801,-0.01605
0.03265,1.47459,0.32698,9.67300,0.20298,0.00341,-0.00887,-4.27969,0.31245,8.81292,0.18398,-0.01429,0.03245
-0.00309,1.45203,0.33830,9.68165,0.20539,0.03341,0.01193,-4.26752,0.30941,8.84524,0.17409,0.01000,-0.00570
0.03595,1.47131,0.34495,9.69369,0.21149,0.00008,-0.00065,-4.25766,0.29488,8.83906,0.21478,0.02219,0.00587
0.02078,1.46412,0.32623,9.68130,0.20375,-0.02857,0.01454,-4.26130,0.31294,8.82665,0.21725,0.04096,0.01059
-0.02673,1.46948,0.35210,9.68769,0.15404,-0.02199,0.01529,-4.25782,0.29743,8.82575,0.18428,0.01844,-0.00373
-0.00813,1.45991,0.34309,9.71396,0.14992,-0.00992,0.02123,-4.26764,0.29822,8.81799,0.15552,0.00403,0.00996
0.03039,1.45366,0.34840,9.70341,0.18933,0.00002,-0.02113,-4.26310,0.30729,8.83328,0.23171,-0.01723,0.04980
0.01403,1.46431,0.32815,9.69676,0.21174,-0.00718,0.03335,-4.27497,0.30628,8.83989,0.19792,0.00266,0.00175
0.03249,1.45779,0.33779,9.67648,0.18961,-0.01118,0.00566,-4.26116,0.31153,8.81390,0.17582,0.00612,0.02774
0.03026,1.46689,0.33505,9.69381,0.16805,0.01606,-0.00708,-4.27515,0.30444,8.81219,0.18301,0.00799,0.00652
0.00878,1.48481,0.34903,9.70975,0.18401,-0.00188,-0.01391,-4.25757,0.33344,8.83319,0.18312,-0.00113,-0.02000
0.07836,1.45837,0.36459,9.70669,0.14251,0.00784,-0.01805,-4.27793,0.31316,8.83030,0.19061,-0.02454,-0.01443
0.02115,1.45952,0.36546,9.68191,0.18303,-0.01472,-0.00864,-4.27087,0.31212,8.82356,0.17027,-0.04578,0.03066
0.01916,1.46907,0.36202,9.70074,0.22409,0.01259,0.01643,-4.26450,0.33126,8.83951,0.17915,0.02114,0.00263
-0.00272,1.47278,0.36389,9.66088,0.18113,-0.00109,-0.00969,-4.26428,0.31302,8.81697,0.20035,0.00893,-0.02444
0.01044,1.48685,0.35999,9.71050,0.16242,0.00181,0.00179,-4.26193,0.32629,8.83555,0.19421,-0.02970,0.00187
0.07125,1.47646,0.35789,9.71525,0.19235,-0.01211,-0.00270,-4.26379,0.32516,8.83363,0.16508,-0.00275,0.00043
0.02383,1.46946,0.36685,9.69798,0.17096,0.00577,-0.01364,-4.25398,0.34322,8.81288,0.15105,0.00394,-0.00923
0.03125,1.47420,0.36939,9.67657,0.18929,0.01597,-0.01715,-4.26801,0.31964,8.81858,0.19525,0.00967,-0.02485
0.01187,1.47236,0.35406,9.70917,0.14975,-0.01916,-0.01460,-4.27470,0.34105,8.82391,0.16681,-0.01663,0.00766
-0.01125,1.45354,0.36388,9.66688,0.19034,-0.01432,-0.00285,-4.25275,0.32712,8.84319,0.21375,-0.01988,-0.00514
